Время	ТМИ
452.046	62.815487
452.055	62.815487
452.066	62.574066
452.076	62.574066
452.085	62.574066
452.096	62.815487
452.106	62.815487
452.115	62.815487
452.126	62.815487
452.136	62.090855
452.145	62.574066
452.155	62.332523
452.166	62.815487
452.175	61.849064
452.185	62.815487
452.196	61.607147
452.205	62.574066
452.215	61.849064
452.226	62.815487
452.235	62.815487
452.245	62.815487
452.256	61.607147
452.265	61.607147
452.275	62.815487
452.286	61.849064
452.296	62.815487
452.305	61.607147
452.316	61.607147
452.326	61.607147
452.335	61.849064
452.346	61.849064
452.356	61.849064
452.365	61.607147
452.376	61.607147
452.386	61.607147
452.395	61.849064
452.405	61.849064
452.416	61.849064
452.425	61.607147
452.435	61.607147
452.446	62.090855
452.455	61.849064
452.465	61.849064
452.476	61.849064
452.485	61.607147
452.495	61.607147
452.506	62.090855
452.515	61.849064
452.525	62.090855
452.536	61.849064
452.546	61.607147
452.555	61.607147
452.566	62.090855
452.576	61.365112
452.585	62.815487
452.596	61.849064
452.606	61.849064
452.615	61.607147
452.626	62.090855
452.636	61.849064
452.645	62.574066
452.655	61.849064
452.666	62.815487
452.675	61.607147
452.685	62.090855
452.696	61.849064
452.705	61.849064
452.714	62.332523
452.725	61.849064
452.735	61.607147
452.744	62.574066
452.754	61.849064
452.765	61.849064
452.774	61.849064
452.784	61.607147
452.795	62.574066
452.804	61.607147
452.814	62.332523
452.825	62.815487
452.834	61.849064
452.844	62.574066
452.856	61.607147
452.865	61.607147
452.876	62.332523
452.886	62.815487
452.895	61.849064
452.905	62.574066
452.916	61.607147
452.925	62.090855
452.935	61.849064
452.946	62.815487
452.955	62.332523
452.965	62.574066
452.976	62.815487
452.985	62.090855
452.995	61.849064
453.006	61.849064
453.015	62.815487
453.025	61.607147
453.036	62.815487
453.046	62.574066
453.055	62.332523
453.066	62.332523
453.076	62.332523
453.085	61.849064
453.096	62.574066
453.106	62.574066
